state,year,species_cum,latitude,longitude
Tasmania,2010,8166,-42,146.5
Tasmania,2011,8403,-42,146.5
Tasmania,2012,8758,-42,146.5
Tasmania,2013,9113,-42,146.5
Tasmania,2014,9468,-42,146.5
Tasmania,2015,9823,-42,146.5
Tasmania,2016,10178,-42,146.5
Tasmania,2017,10415,-42,146.5
Tasmania,2018,10652,-42,146.5
Tasmania,2019,10888,-42,146.5
Tasmania,2020,11125,-42,146.5
Tasmania,2021,11362,-42,146.5
Tasmania,2022,11598,-42,146.5
Tasmania,2023,11717,-42,146.5
Tasmania,2024,11835,-42,146.5
Northern Territory,2000,4757,-19.5,133.5
Northern Territory,2001,4968,-19.5,133.5
Northern Territory,2002,5179,-19.5,133.5
Northern Territory,2003,5391,-19.5,133.5
Northern Territory,2004,5708,-19.5,133.5
Northern Territory,2005,6025,-19.5,133.5
Northern Territory,2006,6236,-19.5,133.5
Northern Territory,2007,6448,-19.5,133.5
Northern Territory,2008,6765,-19.5,133.5
Northern Territory,2009,6976,-19.5,133.5
Northern Territory,2010,7293,-19.5,133.5
Northern Territory,2011,7505,-19.5,133.5
Northern Territory,2012,7822,-19.5,133.5
Northern Territory,2013,8139,-19.5,133.5
Northern Territory,2014,8456,-19.5,133.5
Northern Territory,2015,8773,-19.5,133.5
Northern Territory,2016,9090,-19.5,133.5
Northern Territory,2017,9302,-19.5,133.5
Northern Territory,2018,9513,-19.5,133.5
Northern Territory,2019,9724,-19.5,133.5
Northern Territory,2020,9936,-19.5,133.5
Northern Territory,2021,10147,-19.5,133.5
Northern Territory,2022,10359,-19.5,133.5
Northern Territory,2023,10464,-19.5,133.5
Northern Territory,2024,10570,-19.5,133.5
Australian Capital Territory,2000,2738,-35.3,149.1
Australian Capital Territory,2001,2860,-35.3,149.1
Australian Capital Territory,2002,2982,-35.3,149.1
Australian Capital Territory,2003,3103,-35.3,149.1
Australian Capital Territory,2004,3286,-35.3,149.1
Australian Capital Territory,2005,3468,-35.3,149.1
Australian Capital Territory,2006,3590,-35.3,149.1
Australian Capital Territory,2007,3712,-35.3,149.1
Australian Capital Territory,2008,3894,-35.3,149.1
Australian Capital Territory,2009,4016,-35.3,149.1
Australian Capital Territory,2010,4199,-35.3,149.1
Australian Capital Territory,2011,4320,-35.3,149.1
Australian Capital Territory,2012,4503,-35.3,149.1
Australian Capital Territory,2013,4685,-35.3,149.1
Australian Capital Territory,2014,4868,-35.3,149.1
Australian Capital Territory,2015,5051,-35.3,149.1
Australian Capital Territory,2016,5233,-35.3,149.1
Australian Capital Territory,2017,5355,-35.3,149.1
Australian Capital Territory,2018,5477,-35.3,149.1
Australian Capital Territory,2019,5598,-35.3,149.1
Australian Capital Territory,2020,5720,-35.3,149.1
Australian Capital Territory,2021,5842,-35.3,149.1
Australian Capital Territory,2022,5963,-35.3,149.1
Australian Capital Territory,2023,6024,-35.3,149.1
Australian Capital Territory,2024,6085,-35.3,149.1
